# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 2: "Relative Prices of Various Commodities at Wholesale"
# Pages 435-448. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1865. 122 series, 2,928 cells, of
# which 36 are printed "...." and left blank.
#
# Mitchell lays the table out in blocks of six columns across fourteen pages, each
# block covering part of the date range; they share one date index and are merged
# here. Column names are commodity plus grade or description, as printed.
#
# TWO COLUMNS ARE NOT QUOTED IN THE HEADING MONTHS. Mitchell prints a month against
# each figure for fish_cod and meat_beef_loins: they are quoted in February, May,
# August and November rather than January, April, July and October. The values sit on
# the row of the quarter they belong to, as in the source, but they are one month
# later than every other column.
#
# Re-transcribed 17 September 2026 from the page images, replacing a version in which
# 35 of the 72 cells on page 446 were wrong. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table2_wholesale_prices.csv by analysis/03_build_tidy.py. Do not edit.
date,commodity,relative_price
1860-04,window_glass_french_10x14_firsts,100.0
1860-04,window_glass_french_10x14_thirds,106.3
1860-04,wood_screws_1_inch_no_10_flat_head_iron,100.0
1860-04,zinc_imported_sheet,100.0
1860-07,alcohol,81.5
1860-07,alum,100.0
1860-07,beans,93.3
1860-07,bichromate_of_potash,100.0
1860-07,blue_vitriol,97.4
1860-07,bread_boston_crackers_1,100.0
1860-07,bread_boston_crackers_2,100.0
1860-07,bread_boston_crackers_extra_grade,100.0
1860-07,brick,100.0
1860-07,brimstone,122.2
1860-07,butter,81.0
1860-07,butts_loose_joint_cast_3x3_inch,93.0
1860-07,calico,100.0
1860-07,candles,96.3
1860-07,carpets_brussels,92.3
1860-07,carpets_ingrain,99.3
1860-07,carpets_wilton,97.3
1860-07,castor_oil,100.0
1860-07,cement_rosendale,100.0
1860-07,cheese,75.0
1860-07,chestnut_lumber_in_the_log,100.0
1860-07,coal_anthracite_chestnut,92.1
1860-07,coal_anthracite_egg,97.4
1860-07,coal_anthracite_grate,97.3
1860-07,coal_anthracite_stove,98.7
1860-07,coal_bituminous,102.0
1860-07,coffee_rio_fair,117.4
1860-07,copper_ingot,89.4
1860-07,copper_sheet,100.0
1860-07,copperas,125.0
1860-07,cotton_upland_middling,97.7
1860-07,denims,103.5
1860-07,drillings_30_inch_pepperell,100.0
1860-07,eggs,78.8
1860-07,fish_cod,112.5
1860-07,flax_seed,103.1
1860-07,flour_rye,95.0
1860-07,fruit_apples_dried,87.1
1860-07,fruit_currants_zante,91.7
1860-07,fruit_raisins,106.5
1860-07,furniture_chairs_bed_room,100.0
1860-07,furniture_chairs_kitchen,100.0
1860-07,furniture_tables_kitchen,100.0
1860-07,hemlock_lumber_in_the_log,100.0
1860-07,iron_wire,100.0
1860-07,jute,105.7
1860-07,lard,114.3
1860-07,lead_drop_shot,114.9
1860-07,lead_pig,98.0
1860-07,lead_pipe,112.5
1860-07,leather_harness,102.9
1860-07,lime_rockland,100.0
1860-07,linseed_oil,103.5
1860-07,matches,100.0
1860-07,meal_corn_yellow_kiln_dried,89.2
1860-07,meat_beef_loins,100.0
1860-07,meat_beef_ribs,93.3
1860-07,meat_beef_salt_mess,87.0
1860-07,meat_mutton,100.0
1860-07,meat_pork_salt_mess,109.8
1860-07,mercury,100.0
1860-07,molasses_new_orleans_prime,90.6
1860-07,molasses_porto_rico_best,100.0
1860-07,muriatic_acid,100.0
1860-07,opium,95.7
1860-07,oxide_of_zinc,100.0
1860-07,pails_wooden_2_hoops_1,100.0
1860-07,pails_wooden_2_hoops_2,100.0
1860-07,pails_wooden_3_hoops,100.0
1860-07,pine_boards_1_inch,100.0
1860-07,pine_lumber_in_the_log,100.0
