# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part B: "Averages for the Several Products"
# Pages 433-434. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1866. Mitchell splits the thirteen
# products across two blocks for typographic reasons and breaks the first block over
# two pages; the date index is identical, so they are one table here.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table1b_averages.csv by analysis/03_build_tidy.py. Do not edit.
date,product,relative_price
1865-10,rye,104
1865-10,timothy_seed,160
1865-10,tobacco,212
1865-10,wheat,149
1866-01,barley,135
1866-01,clover_seed,159
1866-01,corn,117
1866-01,flax_seed,207
1866-01,hides,122
1866-01,meat_beeves,175
1866-01,meat_sheep,164
1866-01,meat_pork,195
1866-01,oats,109
1866-01,rye,103
1866-01,timothy_seed,144
1866-01,tobacco,197
1866-01,wheat,138
1866-04,barley,125
1866-04,clover_seed,119
1866-04,corn,102
1866-04,flax_seed,183
1866-04,hides,117
1866-04,meat_beeves,169
1866-04,meat_sheep,160
1866-04,meat_pork,178
1866-04,oats,108
1866-04,rye,87
1866-04,timothy_seed,149
1866-04,tobacco,186
1866-04,wheat,136
1866-07,barley,128
1866-07,clover_seed,137
1866-07,corn,123
1866-07,flax_seed,234
1866-07,hides,117
1866-07,meat_beeves,196
1866-07,meat_sheep,126
1866-07,meat_pork,176
1866-07,oats,129
1866-07,rye,125
1866-07,timothy_seed,146
1866-07,tobacco,186
1866-07,wheat,170
1866-10,barley,166
1866-10,clover_seed,160
1866-10,corn,148
1866-10,flax_seed,232
1866-10,hides,121
1866-10,meat_beeves,182
1866-10,meat_sheep,120
1866-10,meat_pork,184
1866-10,oats,124
1866-10,rye,138
1866-10,timothy_seed,123
1866-10,tobacco,175
1866-10,wheat,200
