# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 5: "Comparison of the Relative Prices of Twenty-Three Commodities
# at Wholesale and at Retail"
# Page 469. Relative prices (index, 1860 = 100).
#
# number_of_price_series is Mitchell's "Number of Price Series" column: how many
# underlying series the relative price averages over. The averages at the foot of the
# table print ".." there, recorded as blank.
#
# Blank cells are printed as "...." in the source. Note that the wholesale and retail
# rows for a pair are not always the same commodity: Mitchell compares Sugar: Havana
# brown at wholesale with Sugar: good brown at retail, and similarly for mackerel and
# for three of the pork series. The item names are kept exactly as printed.
#
# Re-transcribed 17 September 2026 from the page image, replacing a version that was
# wrong from the first row and whose number_of_price_series column was shifted by one
# row. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table5_wholesale_vs_retail.csv by analysis/03_build_tidy.py. Do not edit.
commodity,channel,number_of_price_series,year,relative_price
"Coal: anthracite, stove",retail,6,1860,100
"Coal: anthracite, stove",retail,6,1861,103
"Coal: anthracite, stove",retail,6,1862,115
"Coal: anthracite, stove",retail,6,1863,167
"Coal: anthracite, stove",retail,6,1864,205
"Coal: anthracite, stove",retail,6,1865,216
"Coal: anthracite, stove",retail,6,1866,200
Coal: bituminous,wholesale,1,1860,100
Coal: bituminous,wholesale,1,1861,95
Coal: bituminous,wholesale,1,1862,130
Coal: bituminous,wholesale,1,1863,150
Coal: bituminous,wholesale,1,1864,191
Coal: bituminous,wholesale,1,1865,211
Coal: bituminous,wholesale,1,1866,178
Coal: bituminous,retail,7,1860,100
Coal: bituminous,retail,7,1861,105
Coal: bituminous,retail,7,1862,115
Coal: bituminous,retail,7,1863,151
Coal: bituminous,retail,7,1864,156
Coal: bituminous,retail,7,1865,148
Coal: bituminous,retail,7,1866,147
Average of relative prices,wholesale,,1860,100
Average of relative prices,wholesale,,1861,88
Average of relative prices,wholesale,,1862,105
Average of relative prices,wholesale,,1863,138
Average of relative prices,wholesale,,1864,221
Average of relative prices,wholesale,,1865,222
Average of relative prices,wholesale,,1866,206
Average of relative prices,retail,,1860,100
Average of relative prices,retail,,1861,107
Average of relative prices,retail,,1862,129
Average of relative prices,retail,,1863,165
Average of relative prices,retail,,1864,211
Average of relative prices,retail,,1865,214
Average of relative prices,retail,,1866,202
