# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 3: "Relative Prices Paid by Federal Government for Supplies, 1860-65"
# Pages 449-451. Relative prices (index, base = 100 in the first year quoted).
#
# Mitchell's note to the table: "The data from which the following series of relative
# prices have been computed are found in the 'exhibits' of the Aldrich Report on the
# pages indicated under the several divisions of the table."
#
# Blank cells are printed as "..." in the source, meaning no quotation for that year.
# Sections 2 and 4 are headed "Average Prices for Year"; sections 1 and 3 are headed
# "Date within Year Not Specified".
#
# Re-transcribed 17 September 2026 from page images, replacing an earlier version in
# which 10 of the 15 rows of section 3 were wrong. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table3_government_prices.csv by analysis/03_build_tidy.py. Do not edit.
section,item,year,relative_price
Surgeon General (War Department) drugs and chemicals,Cod liver oil,1865,77
Surgeon General (War Department) drugs and chemicals,Ether,1860,100
Surgeon General (War Department) drugs and chemicals,Ether,1861,150
Surgeon General (War Department) drugs and chemicals,Ether,1862,54
Surgeon General (War Department) drugs and chemicals,Ether,1863,60
Surgeon General (War Department) drugs and chemicals,Ether,1864,126
Surgeon General (War Department) drugs and chemicals,Ether,1865,131
Surgeon General (War Department) drugs and chemicals,Extract of ginger,1860,100
Surgeon General (War Department) drugs and chemicals,Extract of ginger,1861,113
Surgeon General (War Department) drugs and chemicals,Extract of ginger,1862,114
Surgeon General (War Department) drugs and chemicals,Extract of ginger,1863,114
Surgeon General (War Department) drugs and chemicals,Extract of ginger,1864,120
Surgeon General (War Department) drugs and chemicals,Extract of ginger,1865,120
Surgeon General (War Department) drugs and chemicals,Extract of wild cherry bark,1860,100
Surgeon General (War Department) drugs and chemicals,Extract of wild cherry bark,1861,100
Surgeon General (War Department) drugs and chemicals,Extract of wild cherry bark,1862,128
Surgeon General (War Department) drugs and chemicals,Extract of wild cherry bark,1863,112
Surgeon General (War Department) drugs and chemicals,Extract of wild cherry bark,1864,200
Surgeon General (War Department) drugs and chemicals,Extract of wild cherry bark,1865,263
Surgeon General (War Department) drugs and chemicals,Gum Arabic,1860,100
Surgeon General (War Department) drugs and chemicals,Gum Arabic,1861,131
Surgeon General (War Department) drugs and chemicals,Gum Arabic,1862,134
Surgeon General (War Department) drugs and chemicals,Gum Arabic,1863,134
Surgeon General (War Department) drugs and chemicals,Gum Arabic,1864,213
Surgeon General (War Department) drugs and chemicals,Gum Arabic,1865,213
Surgeon General (War Department) drugs and chemicals,Ipecac,1860,100
Surgeon General (War Department) drugs and chemicals,Ipecac,1861,104
Surgeon General (War Department) drugs and chemicals,Ipecac,1862,116
Surgeon General (War Department) drugs and chemicals,Ipecac,1863,117
Surgeon General (War Department) drugs and chemicals,Ipecac,1864,223
Surgeon General (War Department) drugs and chemicals,Ipecac,1865,265
Surgeon General (War Department) drugs and chemicals,Laudanum,1860,100
Surgeon General (War Department) drugs and chemicals,Laudanum,1861,100
Surgeon General (War Department) drugs and chemicals,Laudanum,1862,100
Surgeon General (War Department) drugs and chemicals,Laudanum,1863,100
Surgeon General (War Department) drugs and chemicals,Laudanum,1864,300
Surgeon General (War Department) drugs and chemicals,Laudanum,1865,300
Surgeon General (War Department) drugs and chemicals,Magnesia,1860,100
Surgeon General (War Department) drugs and chemicals,Magnesia,1861,89
Surgeon General (War Department) drugs and chemicals,Magnesia,1862,83
Surgeon General (War Department) drugs and chemicals,Magnesia,1863,93
Surgeon General (War Department) drugs and chemicals,Magnesia,1864,208
Surgeon General (War Department) drugs and chemicals,Magnesia,1865,283
Surgeon General (War Department) drugs and chemicals,Nitric acid,1860,100
Surgeon General (War Department) drugs and chemicals,Nitric acid,1861,93
Surgeon General (War Department) drugs and chemicals,Nitric acid,1862,75
Surgeon General (War Department) drugs and chemicals,Nitric acid,1863,60
Surgeon General (War Department) drugs and chemicals,Nitric acid,1864,68
Surgeon General (War Department) drugs and chemicals,Nitric acid,1865,95
Surgeon General (War Department) drugs and chemicals,Olive oil,1860,100
Surgeon General (War Department) drugs and chemicals,Olive oil,1861,100
Surgeon General (War Department) drugs and chemicals,Olive oil,1862,100
Surgeon General (War Department) drugs and chemicals,Olive oil,1863,100
Surgeon General (War Department) drugs and chemicals,Olive oil,1864,147
Surgeon General (War Department) drugs and chemicals,Olive oil,1865,147
Surgeon General (War Department) drugs and chemicals,Opium,1860,100
Surgeon General (War Department) drugs and chemicals,Opium,1861,101
Surgeon General (War Department) drugs and chemicals,Opium,1862,102
Surgeon General (War Department) drugs and chemicals,Opium,1863,115
Surgeon General (War Department) drugs and chemicals,Opium,1864,185
Surgeon General (War Department) drugs and chemicals,Opium,1865,185
Surgeon General (War Department) drugs and chemicals,Pills cathartic,1860,100
Surgeon General (War Department) drugs and chemicals,Pills cathartic,1861,75
Surgeon General (War Department) drugs and chemicals,Pills cathartic,1862,75
Surgeon General (War Department) drugs and chemicals,Pills cathartic,1863,75
Surgeon General (War Department) drugs and chemicals,Pills cathartic,1864,100
Surgeon General (War Department) drugs and chemicals,Pills cathartic,1865,100
Surgeon General (War Department) drugs and chemicals,Potassium chlorate,1860,100
Surgeon General (War Department) drugs and chemicals,Potassium chlorate,1861,104
Surgeon General (War Department) drugs and chemicals,Potassium chlorate,1862,104
Surgeon General (War Department) drugs and chemicals,Potassium chlorate,1863,104
Surgeon General (War Department) drugs and chemicals,Potassium chlorate,1864,200
Surgeon General (War Department) drugs and chemicals,Potassium chlorate,1865,200
Surgeon General (War Department) drugs and chemicals,Potassium iodide,1860,100
Surgeon General (War Department) drugs and chemicals,Potassium iodide,1861,100
Surgeon General (War Department) drugs and chemicals,Potassium iodide,1862,100
Surgeon General (War Department) drugs and chemicals,Potassium iodide,1863,100
Surgeon General (War Department) drugs and chemicals,Potassium iodide,1864,126
Surgeon General (War Department) drugs and chemicals,Potassium iodide,1865,126
Surgeon General (War Department) drugs and chemicals,Quinine,1860,100
Surgeon General (War Department) drugs and chemicals,Quinine,1861,123
Surgeon General (War Department) drugs and chemicals,Quinine,1862,149
Surgeon General (War Department) drugs and chemicals,Quinine,1863,187
Surgeon General (War Department) drugs and chemicals,Quinine,1864,196
Surgeon General (War Department) drugs and chemicals,Quinine,1865,130
Surgeon General (War Department) drugs and chemicals,Squills syrup of,1860,100
Surgeon General (War Department) drugs and chemicals,Squills syrup of,1861,100
Surgeon General (War Department) drugs and chemicals,Squills syrup of,1862,100
Surgeon General (War Department) drugs and chemicals,Squills syrup of,1863,100
Surgeon General (War Department) drugs and chemicals,Squills syrup of,1864,118
Surgeon General (War Department) drugs and chemicals,Squills syrup of,1865,118
Surgeon General (War Department) drugs and chemicals,Sulphur,1860,100
Surgeon General (War Department) drugs and chemicals,Sulphur,1861,111
Surgeon General (War Department) drugs and chemicals,Sulphur,1862,131
Surgeon General (War Department) drugs and chemicals,Sulphur,1863,100
Surgeon General (War Department) drugs and chemicals,Sulphur,1864,100
Surgeon General (War Department) drugs and chemicals,Sulphur,1865,100
Surgeon General (War Department) drugs and chemicals,Sulphuric acid,1860,100
Surgeon General (War Department) drugs and chemicals,Sulphuric acid,1861,81
Surgeon General (War Department) drugs and chemicals,Sulphuric acid,1862,67
Surgeon General (War Department) drugs and chemicals,Sulphuric acid,1863,78
Surgeon General (War Department) drugs and chemicals,Sulphuric acid,1864,111
Surgeon General (War Department) drugs and chemicals,Sulphuric acid,1865,111
Surgeon General (War Department) drugs and chemicals,Tartar emetic,1860,100
Surgeon General (War Department) drugs and chemicals,Tartar emetic,1861,90
Surgeon General (War Department) drugs and chemicals,Tartar emetic,1862,83
Surgeon General (War Department) drugs and chemicals,Tartar emetic,1863,120
Surgeon General (War Department) drugs and chemicals,Tartar emetic,1864,120
