# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, base=100).
# Initial prices are in the units specified in the original table (per yard, per lb, per gallon, etc.)
category,item,state,town,initial_price,1860,1861,1862,1863,1864,1865,1866
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,Jeffersonville,0.10,100,150,200,300,900,500,500
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,Lawrenceburg,0.10,100,150,200,350,700,350,300
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,New Albany,0.0675,100,111,222,741,963,741,503
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ill.,Bloomington,0.125,100,120,240,300,480,560,360
Dry Goods,"Tickings: good quality",Mass.,Woburn,0.17,100,118,250,250,250,365,225
Dry Goods,"Tickings: good quality",Conn.,Jewett City,0.22,100,100,114,100,250,305,273
Dry Goods,"Tickings: good quality",Pa.,New Castle,0.25,100,120,150,220,300,272,200
Dry Goods,"Tickings: good quality",W. Va.,New Cumberland,0.28,100,143,178,250,400,268,143
Dry Goods,"Tickings: good quality",W. Va.,Wheeling,0.25,100,100,100,200,400,400,300
Dry Goods,"Tickings: good quality",Ohio,Canton,0.25,100,100,100,200,108,400,300
Dry Goods,"Tickings: good quality",Ohio,Cincinnati,0.225,100,100,167,178,253,333,333
Dry Goods,"Tickings: good quality",Ohio,Zanesville,0.25,100,100,200,220,340,220,148
Dry Goods,"Tickings: good quality",Ind.,Jeffersonville,0.25,100,100,200,300,300,400,300
Dry Goods,"Tickings: good quality",Ind.,Lawrenceburg,0.25,100,100,200,300,300,400,300
Dry Goods,"Tickings: good quality",Ind.,New Albany,0.17,100,118,206,294,441,382,294
Dry Goods,"Tickings: good quality",Ill.,Bloomington,0.18,100,100,139,222,278,500,560
Groceries,Coffee (Rio Green),Mass.,Boston,0.13,100,108,172,197,319,254,295
Groceries,Coffee (Rio Green),Pa.,Philadelphia,0.11,100,118,155,200,318,318,310
Groceries,Coffee (Rio Green),Md.,Baltimore,0.16,100,100,150,250,250,219,188
Groceries,Coffee (Rio Green),W. Va.,New Cumberland,0.12,100,125,150,167,268,208,167
Groceries,Coffee (Rio Green),Ohio,Canton,0.16,100,100,94,125,250,294,250
Groceries,Coffee (Rio Green),Ohio,Springfield,0.15,100,100,80,100,160,267,253
Groceries,Coffee (Rio Green),Ohio,Zanesville,0.15,100,100,100,133,167,167,200
Groceries,Coffee (Rio Green),Ind.,Lawrenceburg,0.25,100,100,100,150,130,140,160
Groceries,Coffee (Rio Green),Iowa,Cedar Rapids,0.68,100,100,125,311,125,438,370
Groceries,Molasses (New Orleans),Pa.,Philadelphia,0.40,,100,125,150,175,200,275
Groceries,Molasses (New Orleans),W. Va.,New Cumberland,0.40,100,125,188,225,250,295,225
Groceries,Molasses (New Orleans),Ohio,Canton,0.40,100,100,250,375,375,313,250
Groceries,Molasses (New Orleans),Ohio,Zanesville,0.50,100,100,100,130,200,250,167
Groceries,Molasses (New Orleans),Ind.,Lawrenceburg,0.60,100,100,133,267,200,167
Groceries,Molasses (New Orleans),Iowa,Cedar Rapids,0.50,,100,100,120,160,220,240
Groceries,Molasses (Porto Rico),Mass.,Boston,0.26,100,100,123,180,208,245,227
Groceries,Molasses (Porto Rico),Pa.,Philadelphia,0.30,,100,125,163,250,200,200
Groceries,Molasses (Porto Rico),Md.,Baltimore,0.40,100,100,88,100,125,250,200
Groceries,Molasses (Porto Rico),W. Va.,New Cumberland,0.25,100,200,220,320,280,220,200
Groceries,Molasses (Porto Rico),Ohio,Canton,0.35,,100,171,357,357,286,243
Groceries,Molasses (Porto Rico),Ohio,Springfield,0.50,,100,120,154,180,150,100
Groceries,Molasses (Porto Rico),Ohio,Zanesville,0.55,100,100,100,154,218,227,227
Groceries,Molasses (Porto Rico),Ind.,Lawrenceburg,0.40,100,125,188,250,250,200
Groceries,Molasses (Porto Rico),Iowa,Cedar Rapids,0.50,,100,133,133,167,167
Groceries,Syrup,Pa.,Philadelphia,0.50,100,100,110,110,120,160,180
Groceries,Syrup,Md.,Baltimore,0.40,100,100,100,117,233,223,250
Groceries,Syrup,W. Va.,New Cumberland,0.40,100,125,188,250,313,250,250
Groceries,Syrup,Ohio,Springfield,0.60,100,125,131,167,208,250,250
Groceries,Syrup,Ohio,Zanesville,0.75,100,80,80,120,167,167,200
Groceries,Syrup,Ind.,Lawrenceburg,0.80,100,94,100,125,125,100
Groceries,Syrup,Iowa,Cedar Rapids,0.50,,100,120,120,140,140,20
Groceries,Codfish (Dry),Conn.,Jewett City,0.0625,100,80,100,130,160,100,160
Groceries,Codfish (Dry),Pa.,Philadelphia,0.04,,100,100,125,150,175,255
Groceries,Codfish (Dry),W. Va.,New Cumberland,0.06,100,133,167,167,167,167,167
Groceries,Codfish (Dry),Ohio,Canton,0.10,100,100,100,100,100,160,100
Groceries,Codfish (Dry),Ohio,Zanesville,0.05,100,100,100,140,160,200,200
Groceries,Codfish (Dry),Ind.,Lawrenceburg,0.10,100,100,100,100,120,120,100
Groceries,Codfish (Dry),Iowa,Cedar Rapids,0.08,,100,117,133,175,208,208
